Blank   Coins   Len   Jumps   Tower Gaps
85.25   10      24    25      5     12
83.7    31      12    14      5     5
86.45   35      10    20      3     17
84.65   27      0     29      1     12
82.05   9       17    34      19    7
81.55   20      11    23      5     10
75.15   4       33    38      28    3
82.3    20      23    22      8     3
80.6    22      31    25      7     7
85.55   31      1     31      3     20
85.75   1       12    20      6     9
78.7    5       22    24      27    4
83.6    25      32    22      9     12
82.6    8       15    18      4     15
80.0    9       30    20      5     4
84.25   36      12    17      4     5
85.35   9       10    17      5     14
81.75   5       25    36      14    13
82.15   20      13    25      10    7
84.55   41      -2    14      4     6
90.0    19      9     21      0     20
82.25   12      17    24      10    11
79.85   23      14    25      8     7
82.85   15      12    21      1     9
86.8    17      13    9       3     4
90.5    23      1     22      5     19
81.45   5       11    29      18    2
85.2    17      18    26      11    7
84.95   7       31    27      7     11
85.05   0       32    19      7     4
84.95   8       34    13      1     3
80.5    18      17    17      11    8
85.05   52      8     18      4     7
81.2    11      12    17      6     3
89.45   16      9     17      0     17
79.9    22      22    14      8     4
83.49   17.58   16.41 22.02   7.55  8.91
3.11    11.66   9.79  6.41    6.49  5.18
